match_number,stage,round_name,group_code,group_position_home,group_position_away,home_team_name,home_short_name,home_fifa_code,home_country_code,home_flag_emoji,away_team_name,away_short_name,away_fifa_code,away_country_code,away_flag_emoji,starts_at,prediction_closes_at,venue,city,status
1,group_stage,Fase de grupos,A,1,2,Mexico,Mexico,MEX,MX,🇲🇽,South Africa,South Africa,RSA,ZA,🇿🇦,2026-06-11T19:00:00Z,2026-06-11T19:00:00Z,Estadio Ciudad de Mexico,Ciudad de Mexico,scheduled
2,group_stage,Fase de grupos,A,3,4,Korea Republic,Korea Republic,KOR,KR,🇰🇷,Czechia,Czechia,CZE,CZ,🇨🇿,2026-06-12T02:00:00Z,2026-06-12T02:00:00Z,Estadio Guadalajara,Guadalajara,scheduled
25,group_stage,Fase de grupos,A,4,2,Czechia,Czechia,CZE,CZ,🇨🇿,South Africa,South Africa,RSA,ZA,🇿🇦,2026-06-18T16:00:00Z,2026-06-18T16:00:00Z,Atlanta Stadium,Atlanta,scheduled
28,group_stage,Fase de grupos,A,1,3,Mexico,Mexico,MEX,MX,🇲🇽,Korea Republic,Korea Republic,KOR,KR,🇰🇷,2026-06-19T01:00:00Z,2026-06-19T01:00:00Z,Estadio Guadalajara,Guadalajara,scheduled
53,group_stage,Fase de grupos,A,4,1,Czechia,Czechia,CZE,CZ,🇨🇿,Mexico,Mexico,MEX,MX,🇲🇽,2026-06-25T01:00:00Z,2026-06-25T01:00:00Z,Estadio Ciudad de Mexico,Ciudad de Mexico,scheduled
54,group_stage,Fase de grupos,A,2,3,South Africa,South Africa,RSA,ZA,🇿🇦,Korea Republic,Korea Republic,KOR,KR,🇰🇷,2026-06-25T01:00:00Z,2026-06-25T01:00:00Z,Estadio Monterrey,Monterrey,scheduled
